id,word,meaning,level
1,answer,～に答える,elementary
2,ate,eat の過去形,elementary
3,brush,～を磨く,elementary
4,buy,～を買う,elementary
5,check,～を調べる,elementary
6,clean,～を掃除する、きれいな,elementary
7,cook,（～を）料理する、料理人,elementary
8,dance,（～を）踊る,elementary
9,do,～をする、［疑問文と応答に用いる］,elementary
10,draw,（～を）描く,elementary
11,drink,～を飲む、飲みもの,elementary
12,eat,～を食べる,elementary
13,enjoy,～を楽しむ,elementary
14,get,～を得る、～になる,elementary
15,go,行く,elementary
16,have,～を持っている,elementary
17,help,～を手伝う,elementary
18,join,～に参加する,elementary
19,jump,跳ぶ,elementary
20,leave,（～を）出発する、～を残す,elementary
21,like,～を好む,elementary
22,listen,聞く,elementary
23,look,見る,elementary
24,make,～をつくる,elementary
25,meet,～に会う,elementary
26,play,～をする、～を弾く,elementary
27,practice,練習する、練習,elementary
28,put,～を置く,elementary
29,read,（～を）読む,elementary
30,ride,～に乗る,elementary
31,run,走る,elementary
32,saw,see の過去形,elementary
33,see,～を見る、～に会う,elementary
34,sing,（～を）歌う,elementary
35,sit,すわる,elementary
36,skate,スケートをする,elementary
37,ski,スキーをする,elementary
38,snowboard,スノーボードをする,elementary
39,speak,（～を）話す,elementary
40,spell,～をつづる,elementary
41,start,～を始める,elementary
42,stop,～を止める,elementary
43,study,（～を）勉強する,elementary
44,swim,泳ぐ,elementary
45,take,～をとる、（ふろに）入る,elementary
46,teach,～を教える,elementary
47,thank,～に感謝する,elementary
48,think,～と思う、考える,elementary
49,try,（～を）試す,elementary
50,turn,曲がる,elementary
51,visit,～を訪れる,elementary
52,walk,歩く、～を散歩させる,elementary
53,want,~がほしい,elementary
54,wash,～を洗う,elementary
55,watch,～を見る、腕時計,elementary
56,went,goの過去形,elementary
57,write,～を書く,elementary
58,active,活発な,elementary
59,again,もう一度、再び,elementary
60,always,いつでも,elementary
61,at,～に,elementary
62,beautiful,美しい,elementary
63,best,最もよい,elementary
64,big,大きい,elementary
65,busy,忙しい,elementary
66,by,～のそばに,elementary
67,cloudy,曇った,elementary
68,cold,冷たい、寒い,elementary
69,cool,すずしい、かっこいい,elementary
70,cute,かわいい,elementary
71,delicious,おいしい,elementary
72,down,下に［へ］,elementary
73,exciting,わくわくさせるような,elementary
74,famous,有名な,elementary
75,fast,速く,elementary
76,favorite,お気に入りの,elementary
77,fine,元気な,elementary
78,fresh,新鮮な,elementary
79,friendly,友達にふさわしい、親切な,elementary
80,from,～出身の、～から,elementary
81,fun,おもしろさ、楽しい,elementary
82,funny,おもしろい,elementary
83,good,よい、じょうずな,elementary
84,great,すばらしい,elementary
85,happy,幸せな,elementary
86,hard,一生懸命に、困難な,elementary
87,here,ここに［で］,elementary
88,high,高い,elementary
89,hot,暑い、熱い,elementary
90,hungry,空腹な,elementary
91,in,～（の中）に,elementary
92,interesting,おもしろい,elementary
93,kind,親切な,elementary
94,left,左（へ）,elementary
95,long,長い,elementary
96,many,たくさんの,elementary
97,much,たいへん、たくさん,elementary
98,never,決して～しない,elementary
99,new,新しい,elementary
100,nice,よい、すてきな,elementary
101,old,古い、年老いた,elementary
102,on,～（の上）に,elementary
103,popular,人気がある,elementary
104,rainy,雨の、雨降りの,elementary
105,really,本当に,elementary
106,right,右（へ）、正しい,elementary
107,sad,悲しい,elementary
108,short,短い,elementary
109,sleepy,眠い、眠そうな,elementary
110,small,小さい,elementary
111,smart,賢い,elementary
112,snowy,雪の降る,elementary
113,soft,柔らかい,elementary
114,sometimes,ときどき,elementary
115,straight,まっすぐ,elementary
116,strong,強い,elementary
117,sunny,晴れた,elementary
118,sweet,甘い,elementary
119,tired,疲れた,elementary
120,under,～の（真）下の［に］,elementary
121,up,上に［へ］,elementary
122,usually,ふつうは,elementary
123,very,とても、非常に,elementary
124,well,じょうずに,elementary
125,wonderful,すばらしい,elementary
126,coffee,コーヒー,elementary
127,green tea,緑茶,elementary
128,juice,ジュース,elementary
129,milk,牛乳,elementary
130,mineral water,ミネラル・ウォーター,elementary
131,tea,お茶、紅茶,elementary
